DriverNumber,Driver,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,TrackStatus,IsPersonalBest,IsAccurate,RaceNumber,Year,EventName,LapTime_RollingMean,LapTime_RollingStd,LapTime_CV,S1_Ratio,S2_Ratio,S3_Ratio,S1_Ratio_Std,S2_Ratio_Std,S3_Ratio_Std,SectorInconsistency_Score,LapInStint,StintProgress_Pct,LapTimeDelta_FromStintStart,FastestLap_Race,DeltaToFastest,PersonalBest,DeltaToPersonalBest,IsDegraded
1,VER,48.0,94.35,30.245,40.738,23.367,SOFT,11.0,3.0,1,False,True,1,2024,Bahrain Grand Prix,94.3124,0.13496592162569085,0.0014310517135147748,0.3205617382087971,0.43177530471648123,0.2476629570747218,0.0005689451895173152,0.0006117683660592743,0.000507737083244227,0.0005628168796069388,10,0.5263157894736842,1.7419999999999902,92.608,1.7419999999999902,92.608,1.7419999999999902,0
1,VER,49.0,94.403,30.246,40.804,23.353,SOFT,12.0,3.0,1,False,True,1,2024,Bahrain Grand Prix,94.2868,0.0866152411546378,0.0009186359188628504,0.320392360412275,0.43223202652458076,0.24737561306314418,0.0006116196992561432,0.0005638008589222845,0.0005198258760126387,0.0005650821447303555,11,0.5789473684210527,1.7950000000000017,92.608,1.7950000000000017,92.608,1.7950000000000017,0
1,VER,50.0,94.783,30.229,40.928,23.626,SOFT,13.0,3.0,1,False,True,1,2024,Bahrain Grand Prix,94.3936,0.23332552367938347,0.0024718362651639882,0.31892849983646854,0.43180739162086024,0.24926410854267117,0.0010419914110834632,0.00018102233681215648,0.001083606597941072,0.0007688734486122306,12,0.631578947368421,2.174999999999997,92.608,2.174999999999997,92.608,2.174999999999997,0
1,VER,51.0,94.34,30.003,40.834,23.503,SOFT,14.0,3.0,1,False,True,1,2024,Bahrain Grand Prix,94.423,0.2098058626450971,0.0022219783595638465,0.3180305278778885,0.43283866864532544,0.2491308034767861,0.0012946700917432115,0.0004427856833799098,0.001067501376544012,0.0009349857172223777,13,0.6842105263157895,1.7319999999999993,92.608,1.7319999999999993,92.608,1.7319999999999993,0
1,VER,52.0,94.906,30.333,40.919,23.654,SOFT,15.0,3.0,1,False,True,1,2024,Bahrain Grand Prix,94.5564,0.2676421117840644,0.00283050234340631,0.3196109834994626,0.4311529302678439,0.2492360862326934,0.0010513987069991767,0.0006234605526988479,0.0009331042262283385,0.0008693211619754544,14,0.7368421052631579,2.298000000000002,92.608,2.298000000000002,92.608,2.298000000000002,0
1,VER,53.0,95.6,30.528,41.382,23.69,SOFT,16.0,3.0,1,False,True,1,2024,Bahrain Grand Prix,94.80640000000001,0.5051062264516119,0.005327765071256917,0.3193305439330544,0.43286610878661086,0.24780334728033476,0.000870616159148405,0.0007247420226230817,0.0009019359681619683,0.0008324313833111517,15,0.7894736842105263,2.9919999999999902,92.608,2.9919999999999902,92.608,2.9919999999999902,1
1,VER,54.0,95.334,30.427,41.227,23.68,SOFT,17.0,3.0,1,False,True,1,2024,Bahrain Grand Prix,94.99260000000001,0.4906136973221972,0.0051647570160433245,0.31916210376151216,0.4324480248389871,0.2483898713995007,0.0006027107513070337,0.0007350258198095876,0.0006462083752827344,0.0006613149821331185,16,0.8421052631578947,2.725999999999999,92.608,2.725999999999999,92.608,2.725999999999999,0
1,VER,55.0,95.184,30.493,41.22,23.471,SOFT,18.0,3.0,1,False,True,1,2024,Bahrain Grand Prix,95.0728,0.48045520082536586,0.0050535505510026614,0.32035846360732895,0.43305597579425115,0.2465855605984199,0.0008438828166956895,0.0007699536580820878,0.0010880515857389916,0.0009006293535055897,17,0.8947368421052632,2.5759999999999934,92.608,2.5759999999999934,92.608,2.5759999999999934,0
1,VER,56.0,94.671,30.256,40.87,23.545,SOFT,19.0,3.0,1,False,True,1,2024,Bahrain Grand Prix,95.13900000000001,0.3625892993458715,0.0038111531479821255,0.31959100463711165,0.43170559094125965,0.24870340442162858,0.0004580568673967518,0.0008012884538607317,0.0010137572979828796,0.0007577008730801209,18,0.9473684210526315,2.0630000000000024,92.608,2.0630000000000024,92.608,2.0630000000000024,0
1,VER,57.0,94.923,30.384,40.91,23.629,SOFT,20.0,3.0,1,False,True,1,2024,Bahrain Grand Prix,95.1424,0.3599281872820326,0.003783047172260029,0.3200910211434531,0.4309809003086712,0.24892807854787566,0.000505955131772922,0.000861381948426166,0.0009372506828549978,0.0007681959210180286,19,1.0,2.3149999999999977,92.608,2.3149999999999977,92.608,2.3149999999999977,0
1,VER,3.0,94.043,34.53,29.621,29.892,MEDIUM,3.0,1.0,1,True,True,2,2024,Saudi Arabian Grand Prix,94.124,0.11455129855220997,0.0012170253979028726,0.36717246366024053,0.3149729379113809,0.3178545984283785,0.0009796741778095145,0.0003304581665330504,0.0006492160112764053,0.0006531161185396567,2,0.4,-0.16199999999999193,91.632,2.4110000000000014,91.773,2.2700000000000102,0
1,VER,4.0,93.754,34.416,29.541,29.797,MEDIUM,4.0,1.0,1,True,True,2,2024,Saudi Arabian Grand Prix,94.00066666666667,0.228460791676228,0.0024304167170044323,0.36708833756426384,0.3150905561362715,0.31782110629946453,0.0008252583930938763,0.00030941167936022,0.0005206836691714384,0.0005517845805418449,3,0.6,-0.4509999999999934,91.632,2.122,91.773,1.9810000000000088,0
1,VER,5.0,93.955,34.457,29.59,29.908,MEDIUM,5.0,1.0,1,False,True,2,2024,Saudi Arabian Grand Prix,93.98925,0.18792972977506855,0.0019994811084785608,0.36673939651961046,0.31493800223511254,0.318322601245277,0.0008011807641442173,0.0002559099535243564,0.0005786879662615725,0.0005452595613100487,4,0.8,-0.25,91.632,2.3229999999999933,91.773,2.182000000000002,0
1,VER,6.0,93.676,34.355,29.545,29.776,MEDIUM,6.0,1.0,1,True,True,2,2024,Saudi Arabian Grand Prix,93.92660000000001,0.21474007544004642,0.0022862541116153083,0.3667428156624962,0.3153956189418848,0.31786156539561894,0.0007517090465083439,0.00032086984081392163,0.0005044106085836886,0.0005256631653019847,5,1.0,-0.5289999999999964,91.632,2.043999999999997,91.773,1.9030000000000058,0
1,VER,10.0,95.024,35.648,29.514,29.862,HARD,3.0,2.0,1,False,True,2,2024,Saudi Arabian Grand Prix,94.0904,0.5424668653475495,0.005765379521689242,0.37514733120053884,0.3105952180501768,0.31425745074928435,0.0036776046308762554,0.002022320223775231,0.001670929207301997,0.0024569513539844947,1,0.024390243902439025,0.0,91.632,3.391999999999996,91.773,3.2510000000000048,1
1,VER,11.0,93.61,34.555,29.427,29.628,HARD,4.0,2.0,1,True,True,2,2024,Saudi Arabian Grand Prix,94.0038,0.584833480573741,0.006221381269414013,0.36913791261617346,0.31435744044439695,0.31650464693942953,0.003593890794694343,0.0019817174282866787,0.001652415830105297,0.002409341351028773,2,0.04878048780487805,-1.4140000000000015,91.632,1.9779999999999944,91.773,1.8370000000000033,1
1,VER,12.0,93.321,34.391,29.239,29.691,HARD,5.0,2.0,1,True,True,2,2024,Saudi Arabian Grand Prix,93.91720000000001,0.6584904706979413,0.007011393767040981,0.36852369777434874,0.31331640252461934,0.3181598997010319,0.0034607570777507378,0.0019121133805644027,0.0017030585125243755,0.002358642990279839,3,0.07317073170731707,-1.703000000000003,91.632,1.688999999999993,91.773,1.5480000000000018,1
1,VER,13.0,93.144,34.096,29.411,29.637,HARD,6.0,2.0,1,True,True,2,2024,Saudi Arabian Grand Prix,93.75500000000001,0.7415025286538087,0.007908938495587528,0.3660568581980589,0.31575839560250796,0.3181847461994331,0.0035957769270073994,0.002071276675765418,0.001677649843350911,0.002448234482041243,4,0.0975609756097561,-1.8799999999999955,91.632,1.5120000000000005,91.773,1.3710000000000093,1
1,VER,14.0,93.194,34.303,29.274,29.617,HARD,7.0,2.0,1,False,True,2,2024,Saudi Arabian Grand Prix,93.6586,0.784429601685193,0.008375414555472674,0.3680816361568341,0.31411893469536667,0.31779942914779924,0.0034198881213801297,0.0019109249613911785,0.0016698254528569774,0.002333546178542762,5,0.12195121951219512,-1.8299999999999983,91.632,1.5619999999999976,91.773,1.4210000000000065,1
1,VER,15.0,93.512,34.32,29.438,29.754,HARD,8.0,2.0,1,False,True,2,2024,Saudi Arabian Grand Prix,93.35620000000002,0.2007889439186919,0.002150783171537529,0.36701172042090857,0.31480451706732826,0.3181837625117632,0.0012294219825623456,0.0008998002636411242,0.0007240784983399484,0.0009511002481811395,6,0.14634146341463414,-1.5120000000000005,91.632,1.8799999999999955,91.773,1.7390000000000043,0
1,VER,16.0,93.192,34.239,29.383,29.57,HARD,9.0,2.0,1,False,True,2,2024,Saudi Arabian Grand Prix,93.2726,0.14905301070418261,0.0015980364083791234,0.36740278135462273,0.3152953043179672,0.3173019143274101,0.0009592896870819854,0.000965526694201899,0.0003852282678429758,0.0007700148830422867,7,0.17073170731707318,-1.8320000000000078,91.632,1.559999999999988,91.773,1.418999999999997,0
